nome,squadra,ruolo,quotazione_iniziale_classico,quotazione_attuale_classico,fvm_classico,quotazione_iniziale_mantra,quotazione_attuale_mantra,fvm_mantra
Martinez L.,INT,a,34.0,32.0,325.0,34.0,32.0,325.0
Pulisic,MIL,c,28.0,32.0,261.0,28.0,32.0,261.0
Paz N.,COM,c,20.0,30.0,249.0,20.0,30.0,249.0
Calhanoglu,INT,c,23.0,29.0,236.0,24.0,29.0,256.0
Thuram,INT,a,29.0,29.0,258.0,29.0,29.0,258.0
Yildiz,JUV,a,24.0,29.0,170.0,25.0,29.0,170.0
Orsolini,BOL,c,30.0,27.0,252.0,29.0,27.0,252.0
Leao,MIL,a,24.0,27.0,207.0,24.0,27.0,207.0
Dimarco,INT,d,19.0,26.0,109.0,18.0,26.0,109.0
Soulè,ROM,a,20.0,26.0,158.0,21.0,26.0,158.0
De Bruyne,NAP,c,23.0,24.0,100.0,22.0,23.0,100.0
Berardi,SAS,a,21.0,24.0,120.0,21.0,24.0,120.0
Hojlund,NAP,a,24.0,24.0,199.0,24.0,24.0,199.0
Castro S.,BOL,a,19.0,23.0,78.0,19.0,23.0,75.0
McTominay,NAP,c,26.0,23.0,200.0,26.0,23.0,200.0
Zambo Anguissa,NAP,c,15.0,22.0,85.0,16.0,22.0,100.0
Davis K.,UDI,a,12.0,22.0,59.0,11.0,22.0,56.0
Laurientè,SAS,a,15.0,21.0,41.0,15.0,21.0,41.0
Scamacca,ATA,a,19.0,20.0,100.0,19.0,20.0,100.0
Bastoni,INT,d,16.0,20.0,77.0,16.0,20.0,77.0
Zaccagni,LAZ,c,26.0,20.0,181.0,25.0,20.0,181.0
Castellanos,LAZ,a,21.0,20.0,106.0,21.0,20.0,106.0
Maignan,MIL,p,16.0,20.0,84.0,16.0,20.0,84.0
Modric,MIL,c,12.0,20.0,75.0,12.0,20.0,75.0
Pellegrino M.,PAR,a,13.0,20.0,74.0,12.0,20.0,71.0
Svilar,ROM,p,15.0,20.0,95.0,15.0,20.0,95.0
Vardy,CRE,a,15.0,20.0,60.0,15.0,20.0,57.0
Ndoye,BOL,c,19.0,19.0,60.0,18.0,18.0,60.0
Odgaard,BOL,c,16.0,19.0,61.0,15.0,19.0,61.0
Cambiaghi,BOL,a,11.0,19.0,31.0,11.0,19.0,31.0
Barella,INT,c,14.0,19.0,73.0,14.0,19.0,73.0
Saelemaekers,MIL,c,12.0,19.0,85.0,14.0,20.0,85.0
Zaniolo,UDI,c,11.0,19.0,66.0,10.0,18.0,66.0
De Ketelaere,ATA,a,22.0,18.0,76.0,23.0,18.0,76.0
Kean,FIO,a,33.0,18.0,155.0,33.0,18.0,155.0
Vlahovic,JUV,a,24.0,18.0,70.0,24.0,18.0,67.0
Rabiot,MIL,c,23.0,18.0,74.0,23.0,18.0,74.0
Lookman,ATA,a,29.0,17.0,113.0,30.0,17.0,113.0
Douvikas,COM,a,8.0,17.0,24.0,7.0,16.0,21.0
Bonazzoli,CRE,a,1.0,17.0,32.0,1.0,17.0,32.0
Mandragora,FIO,c,14.0,17.0,35.0,14.0,17.0,40.0
Provedel,LAZ,p,12.0,17.0,68.0,12.0,17.0,68.0
Krstovic,ATA,a,20.0,17.0,25.0,20.0,17.0,22.0
Pavlovic,MIL,d,7.0,17.0,39.0,7.0,17.0,39.0
Simeone,TOR,a,8.0,17.0,72.0,7.0,16.0,69.0
Pellegrini Lo.,ROM,c,11.0,17.0,41.0,11.0,17.0,41.0
Pinamonti,SAS,a,16.0,17.0,80.0,16.0,17.0,77.0
Adams C.,TOR,a,14.0,17.0,33.0,14.0,17.0,33.0
Giovane,VER,a,1.0,17.0,38.0,1.0,17.0,38.0
Palestra,CAG,d,3.0,16.0,46.0,2.0,16.0,43.0
Samardzic,ATA,c,12.0,16.0,13.0,11.0,16.0,11.0
Vazquez,CRE,c,10.0,16.0,15.0,10.0,16.0,15.0
Esposito Se.,CAG,a,7.0,16.0,58.0,7.0,16.0,58.0
Conceicao,JUV,c,18.0,16.0,38.0,17.0,16.0,38.0
Milinkovic-Savic V.,NAP,p,4.0,16.0,51.0,4.0,16.0,51.0
Neres,NAP,c,13.0,16.0,68.0,13.0,16.0,68.0
Bernabè,PAR,c,11.0,16.0,31.0,11.0,16.0,31.0
Konè M.,ROM,c,14.0,16.0,47.0,15.0,16.0,52.0
Dovbyk,ROM,a,21.0,16.0,27.0,21.0,16.0,24.0
Atta,UDI,c,6.0,16.0,50.0,6.0,16.0,50.0
Thauvin,UDI,a,16.0,16.0,64.0,16.0,16.0,64.0
Nzola,PIS,a,12.0,16.0,35.0,12.0,16.0,32.0
Orban G.,VER,a,15.0,16.0,37.0,15.0,16.0,34.0
Carnesecchi,ATA,p,14.0,15.0,46.0,14.0,15.0,46.0
Butez,COM,p,10.0,15.0,41.0,10.0,15.0,41.0
Vandeputte,CRE,c,12.0,15.0,36.0,12.0,15.0,39.0
Bonny,INT,a,5.0,15.0,40.0,5.0,15.0,37.0
Esposito F.P.,INT,a,7.0,15.0,25.0,7.0,15.0,22.0
Di Gregorio,JUV,p,16.0,15.0,62.0,16.0,15.0,62.0
Basic,LAZ,c,1.0,15.0,27.0,1.0,15.0,27.0
Isaksen,LAZ,c,14.0,15.0,47.0,14.0,15.0,47.0
Falcone,LEC,p,6.0,15.0,38.0,6.0,15.0,38.0
Baschirotto,CRE,d,8.0,15.0,27.0,8.0,15.0,27.0
Berisha M.,LEC,c,3.0,15.0,34.0,3.0,15.0,34.0
Spinazzola,NAP,d,7.0,15.0,34.0,7.0,15.0,34.0
Lukaku,NAP,a,31.0,15.0,90.0,31.0,15.0,90.0
Wesley,ROM,d,14.0,15.0,53.0,13.0,15.0,53.0
Konè I.,SAS,c,6.0,15.0,28.0,7.0,15.0,33.0
Vlasic,TOR,c,15.0,15.0,62.0,14.0,15.0,59.0
Openda,JUV,a,22.0,15.0,23.0,22.0,15.0,20.0
Holm,BOL,d,8.0,14.0,25.0,8.0,14.0,25.0
Felici,CAG,c,6.0,14.0,12.0,5.0,14.0,12.0
Borrelli,CAG,a,5.0,14.0,27.0,4.0,14.0,24.0
Perrone,COM,c,8.0,14.0,32.0,9.0,14.0,37.0
Strefezza,COM,c,14.0,14.0,22.0,13.0,13.0,22.0
Addai,COM,a,7.0,14.0,20.0,7.0,14.0,23.0
Thuram K.,JUV,c,16.0,14.0,42.0,17.0,14.0,47.0
David,JUV,a,27.0,14.0,26.0,27.0,14.0,23.0
Guendouzi,LAZ,c,11.0,14.0,22.0,11.0,14.0,22.0
Coulibaly L.,LEC,c,7.0,14.0,27.0,8.0,13.0,32.0
Ricci S.,MIL,c,10.0,14.0,17.0,11.0,14.0,22.0
Cristante,ROM,c,9.0,14.0,29.0,9.0,14.0,34.0
Dybala,ROM,a,26.0,14.0,65.0,27.0,15.0,65.0
Pasalic,ATA,c,9.0,13.0,20.0,9.0,13.0,20.0
Sulemana K.,ATA,a,9.0,13.0,16.0,9.0,13.0,16.0
Skorupski,BOL,p,10.0,13.0,23.0,10.0,13.0,23.0
Caprile,CAG,p,7.0,13.0,33.0,7.0,13.0,33.0
Audero,CRE,p,5.0,13.0,15.0,5.0,13.0,15.0
Gudmundsson A.,FIO,c,24.0,13.0,32.0,23.0,13.0,32.0
