Nome,Squadra,Ruolo,Voto,Fantavoto,Gol,Assist,Rigori_Segnati,Rigori_Sbagliati,Rigori_Parati,Gol_Subiti,Autoreti,MOTM,Bonus_Totali
Carnesecchi,Atalanta,p,6,5,0,0,0,0,0,-1,0,0,-1
Bellanova,Atalanta,d,"6,5","6,5",0,0,0,0,0,0,0,0,0
Scalvini,Atalanta,d,7,10,1,0,0,0,0,0,0,0,3
Kossounou,Atalanta,d,"6,5","6,5",0,0,0,0,0,0,0,0,0
Hien,Atalanta,d,"6,5","6,5",0,0,0,0,0,0,0,0,0
Bernasconi,Atalanta,d,55,55,0,0,0,0,0,0,0,0,0
De Roon,Atalanta,c,7,7,0,0,0,0,0,0,0,0,0
Pasalic,Atalanta,c,"6,5","6,5",0,0,0,0,0,0,0,0,0
Maldini,Atalanta,c,6,6,0,0,0,0,0,0,0,0,0
Brescianini,Atalanta,c,6,6,0,0,0,0,0,0,0,0,0
Samardzic,Atalanta,c,6,6,0,0,0,0,0,0,0,0,0
Musah,Atalanta,c,6,6,0,0,0,0,0,0,0,0,0
Zalewski,Atalanta,c,"7,5","11,5",1,1,0,0,0,0,0,0,4
Sulemana K.,Atalanta,a,6,6,0,0,0,0,0,0,0,0,0
De Ketelaere,Atalanta,a,8,14,2,0,0,0,0,0,0,1,7
Krstovic,Atalanta,a,"6,5","8,5",0,2,0,0,0,0,0,0,2
Skorupski,Bologna,p,6,"4,5",0,0,0,0,0,-1,0,0,-1
Lykogiannis,Bologna,d,"5,5","5,5",0,0,0,0,0,0,0,0,0
Zortea,Bologna,d,"5,5","5,5",0,0,0,0,0,0,0,0,0
Miranda J.,Bologna,d,"5,5",5,0,0,0,0,0,0,0,0,0
Lucumì,Bologna,d,"5,5","5,5",0,0,0,0,0,0,0,0,0
Heggem,Bologna,d,6,6,0,0,0,0,0,0,0,0,0
Bernardeschi,Bologna,c,"5,5","5,5",0,0,0,0,0,0,0,0,0
Freuler,Bologna,c,"5,5","5,5",0,0,0,0,0,0,0,0,0
Orsolini,Bologna,c,"5,5","5,5",0,0,0,0,0,0,0,0,0
Odgaard,Bologna,c,6,6,0,0,0,0,0,0,0,0,0
Ferguson,Bologna,c,6,6,0,0,0,0,0,0,0,0,0
Fabbian,Bologna,c,"5,5","5,5",0,0,0,0,0,0,0,0,0
Rowe,Bologna,c,6,6,0,0,0,0,0,0,0,0,0
Cambiaghi,Bologna,a,"5,5","5,5",0,0,0,0,0,0,0,0,0
Castro S.,Bologna,a,"5,5","5,5",0,0,0,0,0,0,0,0,0
Dallinga,Bologna,a,55,55,0,0,0,0,0,0,0,0,0
Caprile,Cagliari,p,7,7,0,0,0,0,0,0,0,0,0
Luperto,Cagliari,d,"6,5","6,5",0,0,0,0,0,0,0,0,0
Mina,Cagliari,d,7,10,1,0,0,0,0,0,0,1,4
Zappa,Cagliari,d,6,"5,5",0,0,0,0,0,0,0,0,0
Obert,Cagliari,d,"6,5","6,5",0,0,0,0,0,0,0,0,0
Palestra,Cagliari,d,"6,5","6,5",0,0,0,0,0,0,0,0,0
Zè Pedro,Cagliari,d,55,55,0,0,0,0,0,0,0,0,0
Deiola,Cagliari,c,6,"5,5",0,0,0,0,0,0,0,0,0
Gaetano,Cagliari,c,6,6,0,0,0,0,0,0,0,0,0
Adopo,Cagliari,c,6,6,0,0,0,0,0,0,0,0,0
Folorunsho,Cagliari,c,6,6,0,0,0,0,0,0,0,0,0
Prati,Cagliari,c,6,6,0,0,0,0,0,0,0,0,0
Felici,Cagliari,c,7,10,1,0,0,0,0,0,0,0,3
Belotti,Cagliari,a,"5,5","5,5",0,0,0,0,0,0,0,0,0
Esposito Se.,Cagliari,a,6,"5,5",0,0,0,0,0,0,0,0,0
Borrelli,Cagliari,a,6,6,0,0,0,0,0,0,0,0,0
Butez,Como,p,6,5,0,0,0,0,0,-1,0,0,-1
Vojvoda,Como,d,"5,5","5,5",0,0,0,0,0,0,0,0,0
Valle,Como,d,6,"5,5",0,0,0,0,0,0,0,0,0
Ramon,Como,d,"5,5","4,5",0,0,0,0,0,0,0,0,0
Kempf,Como,d,6,6,0,0,0,0,0,0,0,0,0
Sergi Roberto,Como,c,"5,5",5,0,0,0,0,0,0,0,0,0
Caqueret,Como,c,"6,5","6,5",0,0,0,0,0,0,0,0,0
Da Cunha,Como,c,6,6,0,0,0,0,0,0,0,0,0
Perrone,Como,c,"5,5","5,5",0,0,0,0,0,0,0,0,0
Paz N.,Como,c,7,10,1,0,0,0,0,0,0,1,4
Baturina,Como,c,55,55,0,0,0,0,0,0,0,0,0
Morata,Como,a,"5,5","5,5",0,0,0,0,0,0,0,0,0
Douvikas,Como,a,6,6,0,0,0,0,0,0,0,0,0
Addai,Como,a,6,6,0,0,0,0,0,0,0,0,0
Kuhn,Como,a,"6,5","6,5",0,0,0,0,0,0,0,0,0
Rodriguez Je.,Como,a,"5,5","5,5",0,0,0,0,0,0,0,0,0
Audero,Cremonese,p,"7,5","7,5",0,0,0,0,0,0,0,0,0
Bianchetti,Cremonese,d,"5,5","5,5",0,0,0,0,0,0,0,0,0
Pezzella Giu.,Cremonese,d,"5,5","5,5",0,0,0,0,0,0,0,0,0
